readingtime,readingvalue
2018-06-0100:00:00.000000+0000,0.658333333
2018-06-0100:05:00.000000+0000,0.629166667
2018-06-0100:10:00.000000+0000,0.637430536
2018-06-0100:15:00.000000+0000,0.645833333
2018-06-0100:20:00.000000+0000,0.7
2018-06-0100:25:00.000000+0000,0.620761554
2018-06-0100:30:00.000000+0000,0.641666667
2018-06-0100:35:00.000000+0000,0.6375
2018-06-0100:40:00.000000+0000,0.666666667
2018-06-0100:45:00.000000+0000,0.608333333
2018-06-0100:50:00.000000+0000,0.6
2018-06-0100:55:00.000000+0000,0.637359915
2018-06-0101:00:00.000000+0000,0.683333333
2018-06-0101:05:00.000000+0000,0.658268501
2018-06-0101:10:00.000000+0000,0.608333333
2018-06-0101:15:00.000000+0000,0.633333333
2018-06-0101:20:00.000000+0000,0.65
2018-06-0101:25:00.000000+0000,0.629166667
2018-06-0101:30:00.000000+0000,0.65
2018-06-0101:35:00.000000+0000,0.625
2018-06-0101:40:00.000000+0000,0.691666667
2018-06-0101:45:00.000000+0000,0.641666667
2018-06-0101:50:00.000000+0000,0.658333333
2018-06-0101:55:00.000000+0000,0.6375
2018-06-0102:00:00.000000+0000,0.795833333
2018-06-0102:05:00.000000+0000,0.683333333
2018-06-0102:10:00.000000+0000,0.675
2018-06-0102:15:00.000000+0000,0.620833333
2018-06-0102:20:00.000000+0000,0.633332176
2018-06-0102:25:00.000000+0000,0.6125
2018-06-0102:30:00.000000+0000,0.645833333
2018-06-0102:35:00.000000+0000,0.941666667
2018-06-0102:40:00.000000+0000,0.755669399
2018-06-0102:45:00.000000+0000,1.118997175
2018-06-0102:50:00.000000+0000,0.620833333
2018-06-0102:55:00.000000+0000,0.616666667
2018-06-0103:00:00.000000+0000,0.645833333
2018-06-0103:05:00.000000+0000,0.695833333
2018-06-0103:10:00.000000+0000,0.633333333
2018-06-0103:15:00.000000+0000,0.645833333
2018-06-0103:20:00.000000+0000,0.620756923
2018-06-0103:25:00.000000+0000,0.654166667
2018-06-0103:30:00.000000+0000,0.654166667
2018-06-0103:35:00.000000+0000,0.7
2018-06-0103:40:00.000000+0000,0.670833333
2018-06-0103:45:00.000000+0000,0.670833333
2018-06-0103:50:00.000000+0000,0.645833333
2018-06-0103:55:00.000000+0000,0.658333333
2018-06-0104:00:00.000000+0000,0.683333333
2018-06-0104:05:00.000000+0000,0.654166667
2018-06-0104:10:00.000000+0000,0.629166667
2018-06-0104:15:00.000000+0000,0.616666667
2018-06-0104:20:00.000000+0000,0.6375
2018-06-0104:25:00.000000+0000,0.666666667
2018-06-0104:30:00.000000+0000,0.637432852
2018-06-0104:35:00.000000+0000,0.6375
2018-06-0104:40:00.000000+0000,0.658333333
2018-06-0104:45:00.000000+0000,0.675
2018-06-0104:50:00.000000+0000,0.725
2018-06-0104:55:00.000000+0000,0.695833333
2018-06-0105:00:00.000000+0000,0.779166667
2018-06-0105:05:00.000000+0000,0.65
2018-06-0105:10:00.000000+0000,0.754166667
2018-06-0105:15:00.000000+0000,0.654589238
2018-06-0105:20:00.000000+0000,0.675
2018-06-0105:25:00.000000+0000,0.65
2018-06-0105:30:00.000000+0000,0.625
2018-06-0105:35:00.000000+0000,0.683333333
2018-06-0105:40:00.000000+0000,0.704166667
2018-06-0105:45:00.000000+0000,0.7875
2018-06-0105:50:00.000000+0000,0.692089238
2018-06-0105:55:00.000000+0000,0.691666667
2018-06-0106:00:00.000000+0000,0.75
2018-06-0106:05:00.000000+0000,0.770833333
2018-06-0106:10:00.000000+0000,0.6875
2018-06-0106:15:00.000000+0000,0.695629573
2018-06-0106:20:00.000000+0000,0.6875
2018-06-0106:25:00.000000+0000,0.7625
2018-06-0106:30:00.000000+0000,0.825
2018-06-0106:35:00.000000+0000,0.79120126
2018-06-0106:40:00.000000+0000,0.866666667
2018-06-0106:45:00.000000+0000,0.858333333
2018-06-0106:50:00.000000+0000,0.754166667
2018-06-0106:55:00.000000+0000,0.766666667
2018-06-0107:00:00.000000+0000,0.791666667
2018-06-0107:05:00.000000+0000,0.841666667
2018-06-0107:10:00.000000+0000,0.820833333
2018-06-0107:15:00.000000+0000,0.779166667
2018-06-0107:20:00.000000+0000,0.82029962
2018-06-0107:25:00.000000+0000,0.883333333
2018-06-0107:30:00.000000+0000,0.879166667
2018-06-0107:35:00.000000+0000,0.817964481
2018-06-0107:40:00.000000+0000,0.853389831
2018-06-0107:45:00.000000+0000,0.995833333
2018-06-0107:50:00.000000+0000,0.954166667
2018-06-0107:55:00.000000+0000,0.9125
2018-06-0108:00:00.000000+0000,0.908333333
2018-06-0108:05:00.000000+0000,1.016666667
2018-06-0108:10:00.000000+0000,0.979166667
2018-06-0108:15:00.000000+0000,0.920833333
2018-06-0108:20:00.000000+0000,0.941666667
2018-06-0108:25:00.000000+0000,0.916666667
2018-06-0108:30:00.000000+0000,0.870833333
2018-06-0108:35:00.000000+0000,0.975
2018-06-0108:40:00.000000+0000,0.883333333
2018-06-0108:45:00.000000+0000,1.0375
2018-06-0108:50:00.000000+0000,0.979166667
2018-06-0108:55:00.000000+0000,0.833333333
2018-06-0109:00:00.000000+0000,0.816666667
2018-06-0109:05:00.000000+0000,0.845833333
2018-06-0109:10:00.000000+0000,0.783333333
2018-06-0109:15:00.000000+0000,0.741666667
2018-06-0109:20:00.000000+0000,0.9375
2018-06-0109:25:00.000000+0000,1.045833333
2018-06-0109:30:00.000000+0000,0.891666667
2018-06-0109:35:00.000000+0000,1.045833333
2018-06-0109:40:00.000000+0000,0.883333333
2018-06-0109:45:00.000000+0000,0.945833333
2018-06-0109:50:00.000000+0000,0.891666667
2018-06-0109:55:00.000000+0000,0.983333333
2018-06-0110:00:00.000000+0000,0.954166667
2018-06-0110:05:00.000000+0000,0.808333333
2018-06-0110:10:00.000000+0000,1.029166667
2018-06-0110:15:00.000000+0000,0.791666667
2018-06-0110:20:00.000000+0000,0.908553302
2018-06-0110:25:00.000000+0000,0.904166667
2018-06-0110:30:00.000000+0000,0.916666667
2018-06-0110:35:00.000000+0000,0.9
2018-06-0110:40:00.000000+0000,1.108333333
2018-06-0110:45:00.000000+0000,0.979166667
2018-06-0110:50:00.000000+0000,0.9875
2018-06-0110:55:00.000000+0000,0.925
2018-06-0111:00:00.000000+0000,0.8375
2018-06-0111:05:00.000000+0000,0.883628554
2018-06-0111:10:00.000000+0000,0.858333333
2018-06-0111:15:00.000000+0000,0.791666667
2018-06-0111:20:00.000000+0000,0.85
2018-06-0111:25:00.000000+0000,3.108333333
2018-06-0111:30:00.000000+0000,4.245833333
2018-06-0111:35:00.000000+0000,0.929166667
2018-06-0111:40:00.000000+0000,1.058333333
2018-06-0111:45:00.000000+0000,0.85
2018-06-0111:50:00.000000+0000,0.883333333
2018-06-0111:55:00.000000+0000,0.816666667
2018-06-0112:00:00.000000+0000,1.004166667
2018-06-0112:05:00.000000+0000,0.891666667
2018-06-0112:10:00.000000+0000,0.920833333
2018-06-0112:15:00.000000+0000,0.85
2018-06-0112:20:00.000000+0000,0.908333333
2018-06-0112:25:00.000000+0000,1.066666667
2018-06-0112:30:00.000000+0000,0.979166667
2018-06-0112:35:00.000000+0000,0.920833333
2018-06-0112:40:00.000000+0000,0.925
2018-06-0112:45:00.000000+0000,1.016666667
2018-06-0112:50:00.000000+0000,0.949482495
2018-06-0112:55:00.000000+0000,0.958333333
2018-06-0113:00:00.000000+0000,0.791666667
2018-06-0113:05:00.000000+0000,0.866666667
2018-06-0113:10:00.000000+0000,0.879166667
2018-06-0113:15:00.000000+0000,0.9
2018-06-0113:20:00.000000+0000,0.895833333
2018-06-0113:25:00.000000+0000,1.158333333
2018-06-0113:30:00.000000+0000,0.841666667
2018-06-0113:35:00.000000+0000,0.962057748
2018-06-0113:40:00.000000+0000,1.070833333
2018-06-0113:45:00.000000+0000,1.030254932
2018-06-0113:50:00.000000+0000,1.066666667
2018-06-0113:55:00.000000+0000,0.791666667
2018-06-0114:00:00.000000+0000,0.841666667
2018-06-0114:05:00.000000+0000,0.883333333
2018-06-0114:10:00.000000+0000,0.870833333
2018-06-0114:15:00.000000+0000,0.766666667
2018-06-0114:20:00.000000+0000,1.041666667
2018-06-0114:25:00.000000+0000,0.816666667
2018-06-0114:30:00.000000+0000,0.870833333
2018-06-0114:35:00.000000+0000,0.895833333
2018-06-0114:40:00.000000+0000,0.938020978
2018-06-0114:45:00.000000+0000,0.9625
2018-06-0114:50:00.000000+0000,0.891666667
2018-06-0114:55:00.000000+0000,0.8
2018-06-0115:00:00.000000+0000,1.066775493
2018-06-0115:05:00.000000+0000,1.066666667
2018-06-0115:10:00.000000+0000,1.158333333
2018-06-0115:15:00.000000+0000,1.1125
2018-06-0115:20:00.000000+0000,1.0125
2018-06-0115:25:00.000000+0000,1.420833333
2018-06-0115:30:00.000000+0000,1.158333333
2018-06-0115:35:00.000000+0000,0.9
2018-06-0115:40:00.000000+0000,0.816666667
2018-06-0115:45:00.000000+0000,0.754166667
2018-06-0115:50:00.000000+0000,0.7625
2018-06-0115:55:00.000000+0000,0.816666667
2018-06-0116:00:00.000000+0000,0.708333333
2018-06-0116:05:00.000000+0000,0.778906178
2018-06-0116:10:00.000000+0000,0.8875
2018-06-0116:15:00.000000+0000,0.829166667
2018-06-0116:20:00.000000+0000,1.579166667
2018-06-0116:25:00.000000+0000,0.779179402
2018-06-0116:30:00.000000+0000,0.9
2018-06-0116:35:00.000000+0000,0.795833333
2018-06-0116:40:00.000000+0000,0.766666667
2018-06-0116:45:00.000000+0000,0.8375
2018-06-0116:50:00.000000+0000,0.7875
2018-06-0116:55:00.000000+0000,0.9625
2018-06-0117:00:00.000000+0000,0.8125
2018-06-0117:05:00.000000+0000,0.791666667
2018-06-0117:10:00.000000+0000,0.779318329
2018-06-0117:15:00.000000+0000,0.783145781
2018-06-0117:20:00.000000+0000,0.720833333
2018-06-0117:25:00.000000+0000,0.913934426
2018-06-0117:30:00.000000+0000,0.787726915
2018-06-0117:35:00.000000+0000,0.829880985
2018-06-0117:40:00.000000+0000,0.9875
2018-06-0117:45:00.000000+0000,0.7875
2018-06-0117:50:00.000000+0000,0.75
2018-06-0117:55:00.000000+0000,0.716666667
2018-06-0118:00:00.000000+0000,0.7625
2018-06-0118:05:00.000000+0000,0.695833333
2018-06-0118:10:00.000000+0000,0.858333333
2018-06-0118:15:00.000000+0000,0.7873877
2018-06-0118:20:00.000000+0000,0.7
2018-06-0118:25:00.000000+0000,0.658333333
